text,emotion
"""czuję się jakbym był całkowicie bezradny i nie miał żadnego wpływu na swoje życie.""",2
"""nie chcę tu zostać. czuje się nieswojo. boję się, że coś złego się stanie.""",3
"""nie mam czasu na to! czy naprawdę myślicie, że mogę wszystko zrobić naraz? nie jestem niezniszczalny! muszę mieć czas na odpoczynek i zrobienie rzeczy, które są dla mnie ważne!""",4
"""twoje usta wyglądają jakby ktoś je wyczyścił przy pomocy starego, brudnego szczoteczki do zębów.""",5
"""czasami czuję się jakbym miał dwa życia - jedno, które widzą inni, a drugie, które czuję w moim wnętrzu.""",6
"""myślę, że to wszystko zależy od sytuacji.""",0
"""świat jest pełen możliwości! cieszę się, że mogę wykorzystać je wszystkie!""",1
"""czasami czuję, że wszystko, co robię, jest bez sensu i pozostaję bezsilny wobec wszystkiego, co się dzieje wokół mnie.""",2
"boję się, że moje działania nie zostaną docenione i wszystko, co zrobię, będzie na nic.",3
"""nie mam już dość tego wszystkiego! chcę zakończyć to teraz i tu, a nie za jakiś czas!""",4
"""nienawidzę tego miejsca. jest takie brzydkie i złe. nie chcę tu być ani minuty dłużej.""",5
"""coś tu się dzieje - to niemożliwe!""",6
"""nie mam zdania na ten temat, ale mogę powiedzieć, że jest wiele możliwości, które należy rozważyć przed podjęciem decyzji.""",0
"cieszę się, że mam okazję doświadczyć tego pięknego dnia, w którym wszystko jest możliwe!",1
"""czuję się tak samotny i bezradny. wydaje się, że nikt nie słucha tego, co mówię, ani nie dostrzega moich potrzeb. czuję się tak, jakbym nie miał żadnego znaczenia.""",2
"""nie wiem, co się dzieje, ale czuję, że jestem w niebezpieczeństwie. czuję, że jestem śledzony i że coś złego jest tu blisko. boję się, że moje życie jest w niebezpieczeństwie.""",3
"""nie mam czasu na twoje bzdury! jeśli nie zamierzasz się zmienić, to wyjdź z mojego życia!""",4
"""nie mam czasu na twoje głupoty. nie mam ochoty na twoje bzdury. idź i zajmij się czymś pożytecznym!""",5
"""nie mogę uwierzyć, że to się właśnie stało! co za szalony świat, w którym żyjemy!""",6
"""wydaje mi się, że to dobry pomysł.""",0
"""śmiej się, aż łzy będą ci płynąć, bo życie jest za krótkie, żeby traktować je poważnie!""",1
"""czuję się tak samotny, jakbym był na końcu świata.""",2
"""to jest ciągle tam! nie wiem, co to jest, ale czuję, że mnie obserwuje i śledzi każdy mój ruch!""",3
"""nie mam czasu na to wszystko! nie jestem w stanie tego zrobić sam!""",4
"""jesteś tak bezwartościowy, jakbyś nie istniał. lepiej byłoby, gdybyś nigdy się nie narodził.""",5
"""to nie może być prawdziwe!""",6
"zgadzam się, że jest to ważny temat i powinniśmy go omówić.",0
"życie jest za krótkie, aby nie cieszyć się z każdej chwili!",1
"""czuję się tak, jakbym zawiodła wszystkich, którzy wierzyli we mnie.""",2
"jestem bardzo zaniepokojony tym, co się dzieje. nie wiem, co jest prawdziwe, a co fałszywe, i obawiam się, że możemy być wszyscy w niebezpieczeństwie. nie wiem, jak poradzić sobie z tym wszystkim i jestem przerażony tym, co może się stać.",3
"""nie mogę uwierzyć, że muszę znowu zmierzyć się z tym samym problemem! przez cały czas marnuję swój czas i energie! czy nikt nie może mi pomóc?!""",4
"""to jest po prostu niedopuszczalne! nie możemy pozwolić, by to się działo. musimy zrobić wszystko, co w naszej mocy, aby to zatrzymać!""",5
"""to jest tak niewiarygodne, że nie mogę w to uwierzyć!""",6
"""rozumiem, co mówisz.""",0
"""życie jest wspaniałe! cieszę się każdym dniem i jestem szczęśliwy, że mogę cieszyć się wszystkimi jego dobrami!""",1
"""czuję się tak samotny i bezradny, jakbym był na końcu świata.""",2
"""uciekajmy stąd! coś tu jest nie tak!""",3
"""nie mam czasu na te głupoty! muszę się skupić na ważniejszych rzeczach!""",4
"""ktoś powinien wyciągnąć te śmierdzące resztki jedzenia z tego kanalizacji, bo to brzydko pachnie jak gnojowica!""",5
"""co to ma znaczyć?""",6
jestem obiektywny i staram się być racjonalny w moich decyzjach.,0
"""czuję się szczęśliwy, gdy widzę, jak moje wysiłki są doceniane i jak moje życie przynosi mi radość.""",1
"""czuję się tak samotny i bezradny. nie wiem, jak dalej żyć, kiedy wszystko wokół mnie wydaje się takie puste i bezsensowne.""",2
"jestem bardzo zaniepokojony tym, co się dzieje. nie wiem, jak długo będziemy w stanie utrzymać ten stan rzeczy, jeśli sytuacja się nie poprawi. martwi mnie, że możemy stanąć w obliczu poważnych konsekwencji, jeśli nie zareagujemy szybko i właściwie. boję się, że możemy stracić wszystko, co osiągnęliśmy, jeśli nie zaczniemy działać.",3
"""jestem tak wściekły, że chciałbym rozszarpać wszystko, co mam wokół siebie! nienawidzę tego, co się dzieje i nie mam już siły, aby to znieść. nie znoszę tego, co mi się teraz przytrafia i mam dosyć tego całego zamieszania!",4
"""twoje życie jest tak nudne i bezwartościowe, że nawet nie warto się nad nim zastanawiać. jesteś tak nieatrakcyjny, że nawet twoje własne odbicie w lustrze wywołuje mdłości"".",5
"""nie mogę uwierzyć, że to się dzieje naprawdę! co się dzieje?""",6
"""myślę, że zasługujesz na szacunek.""",0
"""życie jest piękne! cieszę się, że mogę je cieszyć każdego dnia!""",1
"""nic nie wychodzi tak, jakbym chciał. nic nie ma sensu.""",2
"""nie chcę tu być. boję się tego, co może się wydarzyć.""",3
"""nie mam czasu na twoje głupie gierki! przestań natychmiast!""",4
"""jesteś tak bezwartościowy, że nawet twoja matka cię nie chciała.""",5
"""co to ma znaczyć?!""",6
nie mam żadnych emocji związanych z tą sytuacją. po prostu postępuję zgodnie z procedurami.,0
"jestem tak szczęśliwy, że mogę dzielić się wszystkim, co mam z ludźmi, których kocham!",1
"""czuję się tak, jakbym była daleko od domu, bez nikogo, kto mógłby mnie wesprzeć. czuję się tak samotna i bezradna, jakbym nie miała nikogo, kto mógłby mnie zrozumieć.""",2
"""nie chcę tego robić. boję się, że coś pójdzie nie tak.""",3
"""jak możesz mieć czelność mówić mi co mam robić? nie jesteś mi nic winien i nie masz prawa decydować o moim życiu!""",4
"""twoje życie jest jak zgniły kawałek mięsa - brzydki, śmierdzący i bezwartościowy.""",5
"""nie mogę uwierzyć, że to się wydarzyło! nie mogę uwierzyć, że miałem taką szansę i ją zmarnowałem!""",6
"""myślę, że to zależy od sytuacji.""",0
życie jest piękne i mam zamiar cieszyć się każdym dniem!,1
"""czy naprawdę musiało to się tak skończyć?""",2
"""nie wiem, co się stanie, jeśli tu zostanę. boję się, że może być jeszcze gorzej.""",3
"""nie mam czasu na twoje głupoty! przestań mnie tu zanudzać!""",4
"""uch, to jest tak obrzydliwe, że aż chce mi się wymiotować!""",5
"""hm, to jest dziwne.""",6
"jestem zdania, że powinniśmy skupić się na dostarczaniu najlepszych możliwych rozwiązań, aby osiągnąć zamierzony cel.",0
"hej! dzisiaj jest wspaniały dzień, w którym możemy się cieszyć i radować! czuję, że wszystko jest możliwe, a świat jest pełen niesamowitych możliwości!",1
"""czuję się tak samotny i zagubiony, jakbym nie miał już celu w życiu. przeszłość pochłonęła mnie, a przyszłość wydaje się tak daleka i nieosiągalna.""",2
"""rozumiem twoją decyzję.""",0
"""śmiej się, a życie będzie dużo lepsze!""",1
"""czuję się tak, jakby wszystko, co robię, było bezcelowe. nic nie ma sensu i nic nie daje mi radości.""",2
"""nie wiem, co się stanie, jeśli to zrobimy - czuję, że jesteśmy w pułapce!""",3
"""czy nie możesz po prostu zrobić tego, co ci mówię? to nie jest trudne!""",4
"""nie mam zamiaru angażować się w twoje głupie zabawy. nie interesują mnie twoje niskie pomysły.""",5
"""co? to nie może być prawdziwe!""",6
"mogę przyznać, że jestem zaskoczony tym, co się wydarzyło.",0
"hej, życie jest za krótkie, żeby się martwić! cieszmy się każdym dniem i bawmy się dobrze!",1
"""czuję, że wszystko, co robię, jest bezcelowe i nie ma sensu.""",2
"""boże, co się stanie? czy to naprawdę koniec? przerażenie ogarnia mnie, gdy myślę o tym, co może się wydarzyć. nie wiem, jak długo jeszcze będę w stanie znieść tę sytuację.""",3
"""nie wystarczy mi już twojej obojętności! nie możesz po prostu zająć się tym, co ważne? wszystko, na co się zdajesz, to ignorowanie problemu, a to mnie wkurza!""",4
"""życie jest bez sensu i nie ma sensu w traceniu czasu na coś, co i tak nie ma znaczenia.""",5
"""cóż, to jest naprawdę dziwne, nie wiem, co mam o tym myśleć.""",6
"""życie jest wspaniałe i cieszę się, że mogę cieszyć się każdym dniem!""",1
"""życie to ciągła walka, a ja nie mam siły, by dalej walczyć.""",2
"""nie wiem, co się dzieje, ale czuję, że coś złego jest tu blisko. czuję się jakbym miał być następny!""",3
"""nie mam czasu na to! czy nie możesz po prostu zrozumieć?""",4
"""nie jesteś niczym więcej niż brudnym, niepotrzebnym śmieciem.""",5
"""co za niespodzianka!""",6
"""zobaczymy, co przyniesie przyszłość.""",0
"""cieszę się, że mam tak wspaniałych przyjaciół, którzy zawsze są tu, aby mnie wspierać!""",1
"""czuję się tak samotny, jakbym był na samym dnie oceanu i nikt nie mógł mnie znaleźć"".",2
"jestem pełen obaw, że tego nie przetrwam. nie wiem, jak poradzę sobie z tym wszystkim i czy dam radę zachować zdrowy rozsądek. nie wiem, czy będę mógł pozostać silny i wytrwać w swoich decyzjach. boję się, że wszystko to przerosnie mnie i nie będę w stanie ogarnąć sytuacji.",3
"""to jest absolutnie niedopuszczalne! nie mogę w to uwierzyć! nie jestem w stanie znieść takiego traktowania! zrobię wszystko, co w mojej mocy, aby to zmienić!""",4
"""twoje słowa są jak pusty szum, nic nie znaczące i bez znaczenia.""",5
"""to niemożliwe! nie mogę uwierzyć, że to się wydarzyło!""",6
potwierdzam.,0
"""śmiech to zdrowie, więc zaczynamy dzień z uśmiechem!""",1
"""czuję się tak samotny i bezradny, jakbym był wystawiony na wiatr.""",2
"""boże, co teraz zrobię?""",3
"""co za bezczelność! jak możesz nawet myśleć o takim postępowaniu? to skandal! nie zasługujesz na nic innego, jak tylko na potępienie!""",4
"""nie mam zamiaru tego robić. nie mam zamiaru słuchać twoich niedorzecznych żądań. nie mam zamiaru nawet o tym myśleć.""",5
"jestem zadowolony z tego, co osiągnąłem. postanowiłem pójść dalej i wykorzystać moje umiejętności, aby osiągnąć więcej.",0
"cieszę się, że mogę dzielić się swoją radością z innymi i wykorzystywać swoje talenty do tworzenia pozytywnych zmian w świecie!",1
"""czuję się tak, jakbym był na dnie bez żadnej nadziei na poprawę. przez całe życie czuję się samotny i bezradny, jakbym nie miał celu ani sensu. czasami myślę, że moje życie jest bezwartościowe i nie ma dla mnie nadziei na lepsze jutro.""",2
"""nie chcę tam iść, bo boję się, co tam może być. nie wiem, co mnie tam spotka, i nie chcę się tego dowiadywać.""",3
"""jak możesz być tak bezduszny i okrutny? nie zasługujesz na nic innego, jak na mój gwałtowny gniew!""",4
"""nie mam zamiaru słuchać tego, co masz do powiedzenia. nie interesuje mnie to w ogóle.""",5
"""to jest tak dziwne, że nie mogę nawet sobie tego wyobrazić.""",6
"""życie jest wspaniałe! cieszę się, że mam okazję doświadczyć wszystkich tego piękna!""",1
"""życie jest takie bezsensowne. nic nie ma sensu.""",2
"""o boże, co się stanie?! nie wiem, co mam zrobić! czy to naprawdę się dzieje? jestem przerażony!""",3
"""nie wiem, czemu mam się z tym męczyć! nic z tego nie rozumiem. dlaczego mam to robić?!""",4
"""nie masz pojęcia, jak bardzo mnie to obrzydza. przestań natychmiast!""",5
"""coś tu się dzieje, nie mam pojęcia co!""",6
"mogę tylko powiedzieć, że jestem zadowolony ze swojego postępu. uważam, że wykonałem dobrą pracę i jestem z tego dumny.",0
"życie jest zbyt krótkie, aby nie cieszyć się każdym dniem!",1
"""czuję się tak, jakbym była całkowicie sama na świecie, jakby nikt mnie nie zauważał ani nie szanował tego, co robię.""",2
"""nie chcę tego robić. jestem tak przerażony, że nie wiem, co mam zrobić.""",3
"""jak możesz tak łatwo mnie zignorować? czy nie zasługuję na szacunek? nie będę już dłużej czekać na twoją odpowiedź, bo jestem zbyt wściekły, aby to znieść!""",4
"""nie mam ochoty słuchać twoich pustych obietnic i prób wywierania na mnie presji. nie interesuje mnie twoja opinia ani twoje zdanie. nie mam zamiaru się dostosowywać do twoich standardów.""",5
"""nie mogę uwierzyć, że to się stało! jak to możliwe?""",6
"ok, rozumiem.",0
"""życie jest zbyt krótkie, aby nie cieszyć się z małych rzeczy!""",1
"""czasami czuję się tak, jakbym tonął w oceanie smutku i nie mógł się wydostać.""",2
"""nie wiem, co się dzieje, ale czuję, że jestem w niebezpieczeństwie! proszę, ktoś mi pomóż!""",3
"""nie mam ochoty na twoje głupie gierki! zostaw mnie w spokoju!""",4
"""śmierdzący, rozkładający się trup byłby lepszy niż twój uśmiech.""",5
"""to zależy od okoliczności"".",0
"hej! cieszę się, że tu jesteś! mam nadzieję, że dzień jest wyjątkowo wesoły i pełen radości!",1
"""czuję się tak, jakbym był całkowicie sam w tym świecie, jakbym nie miał nikogo, na kogo mogłabym liczyć.""",2
"""o boże, co się stanie? czy to koniec? czy mam jeszcze jakąś szansę? nie wiem, co robić, jestem tak przerażony!""",3
"""nie jestem głupi! nie mam zamiaru dać się oszukać! nie pozwolę, abyście mnie wykorzystywali i traktowali jak śmiecia!""",4
"""nie mam zamiaru słuchać twoich bzdur! nie mam czasu na twoje głupoty. twoje słowa są puste i bez znaczenia. nie mam zamiaru tracić czasu na twoje bezsensowne próby zwrócenia na siebie uwagi. nie jestem zainteresowany twoimi problemami.""",5
"""nie mam pojęcia, co się dzieje.""",6
"""cieszę się, że mogę dzielić radość z innymi i żyć pełnią życia.""",1
"""czuję się tak samotny, jakbym był na końcu świata"".",2
"""nie chcę tam iść. boję się, co tam znajdę.""",3
"""nie mam dość tego wszystkiego! nie mam już siły na to wszystko! dość tego! chcę być wolny!""",4
"""twoje życie jest nic nie warte, więc po co się starać?""",5
"""co się dzieje?!""",6
"mam nadzieję, że wszystko pójdzie po mojej myśli.",0
"""czuję się tak samotny, jakby cały świat stanął po drugiej stronie rzeki, a ja stałem tutaj, po tej samej stronie, bez żadnego sposobu na przekroczenie jej.""",2
"""nie wiem, co się dzieje, ale czuję, że wokół mnie jest coś złego. moje serce bije jak szalone, a całe ciało drży ze strachu. jestem przerażony i nie wiem, co mam zrobić.""",3
"""nie mam już siły na te wszystkie błędy i złe traktowanie. zmęczony jestem tego ciągłego niedoceniania i niezrozumienia. nie mam już sił, aby dalej znosić to wszystko!""",4
"""śmierdzi tu jakbyśmy siedzieli w śmietniku, a twoje myśli są tak brudne jak twoje ubranie!""",5
"""nie mogę uwierzyć, że to się stało! jak to możliwe?!""",6
"""śmiech to zdrowie! życie jest za krótkie, by nie cieszyć się każdym dniem!""",1
"""czasami czuję się tak bezsilny i bezradny, jakby świat miał się zawalić, zanim zdążę zrobić cokolwiek, co miałoby na to wpływ.""",2
"""nie wiem, co się stanie, jeśli tu zostanę. boję się, że moje życie będzie zagrożone!""",3
"""nie mam czasu na twoje głupie pytania! zrozum to raz na zawsze!""",4
"""to jest tak obrzydliwe, że aż chce mi się rzygać. widzę, jak coś wielkiego i brzydkiego wychodzi z tego, coś, co wygląda jak przetrawione jedzenie.""",5
"""co się dzieje? to nie może być prawdziwe!""",6
"zgadzam się, że należy podejmować działania, aby zapobiec dalszemu zanieczyszczeniu środowiska.",0
"""jestem wdzięczny za wszystko, co mam i cieszę się, że mogę cieszyć się życiem każdego dnia.""",1
"""czuję się tak, jakbym był na dnie jeziora, bez nadziei na powrót na powierzchnię. wszystko, co widzę, to ciemność i samotność.""",2
"""o boże, co się dzieje? czy to naprawdę się dzieje? jestem całkowicie sparaliżowany strachem, nie wiem, co mam zrobić!""",3
"""nie jestem zadowolony z tego, co się wydarzyło! to jest po prostu skandal! nie mogę znieść tego bezczynnego zachowania! nie zasługujesz na to, aby mieć jakikolwiek wpływ na moje życie! musisz natychmiast wycofać się i zostawić mnie w spokoju!""",4
"""twoje życie jest bezcelowe i niewarte życia. lepiej byłoby, gdybyś nigdy nie narodził się na tym świecie"".",5
"""to jest niewiarygodne! nie mogę uwierzyć, że to się wydarzyło!""",6
"""życie jest wspaniałe! cieszę się, że mogę cieszyć się każdym dniem.""",1
"""życie jest tak okrutne, czasami nie wiem, jak dalej funkcjonować.""",2
"""proszę, nie zbliżaj się! nie wiem, co może się stać!""",3
"""nie mam czasu na to! przestań marnować mój czas!""",4
"""nie zasługujesz na nic dobrego. jesteś po prostu żałosnym kłamcą i złodziejem.""",5
"""myślę, że to jest całkiem interesujące, ale nie wiem, jak się do tego odnieść.""",0
" jestem tak szczęśliwy, że mam przyjaciół, którzy mnie wspierają i są zawsze obecni, gdy tego potrzebuję. to daje mi siłę do działania i motywuje mnie do osiągania moich celów.",1
"""czuję się tak, jakbym zawalił wszystko, co staram się osiągnąć, i nigdy nie będę mógł tego naprawić.""",2
"""nie wiem, czy powinienem tu być. czuje się jakbym szedł w złym kierunku i nie wiem, co się stanie, jeśli będę dalej szedł.""",3
"""nie mam już siły słuchać twoich bezsensownych narzekań! jeśli masz jakieś problemy, to rozwiąż je, a nie narzekaj cały czas!""",4
"""nigdy nie zrozumiem, dlaczego ludzie są tak naiwni i wierzą w rzeczy, które są całkowicie nieprawdziwe.""",5
"""to nie może być prawda... nie wierzę, że to się wydarzyło.""",6
"rozumiem, co mówisz.",0
"śmiej się życiu, bo życie śmieje się z ciebie!",1
"""czuję się tak samotny, jakbym był na samym dnie bez dna.""",2
"""nie chcę się zbliżać, bo się boję!""",3
"""nie mogę tego znieść! nie mam wystarczająco dużo siły, by to wszystko znieść! to jest po prostu niesprawiedliwe!""",4
"""nienawidzę tego miejsca. chcę stąd wyjechać jak najszybciej.""",5
"jestem osobą, która skupia się na logicznym myśleniu i tworzeniu obiektywnych opinii.",0
"""cieszę się, że mogę dzielić się radością z innymi i że mam okazję sprawiać ludziom przyjemność!""",1
"""czuje się tak samotny i bezradny, jakbym był całkowicie opuszczony na świecie.""",2
"jestem naprawdę przerażony tym, co się dzieje. nie mam pojęcia, co będzie dalej, a wszystko wokół mnie wydaje się tak niepewne. czuję, że wszystkie moje plany i marzenia są teraz w powietrzu, a ja nie wiem, jak je osiągnąć. boję się, że nie będę miał siły, aby przez to wszystko przejść.",3
"""jestem zażenowany tym, co się dzieje! jak to możliwe, że pozwalacie na to, aby nasze życie było tak złe? jak możecie pozwolić, aby nasze prawa były tak bezczelnie łamane? to jest skandal! jak możecie pozwolić, abyśmy żyli w takim strachu, bez względu na to, co robimy? ktoś musi coś z tym zrobić, bo nie mogę tego dłużej znieść!",4
"""jeśli lubisz swoje życie, to jesteś głupi. lepiej być martwym niż żyć w takim smutnym i bezsensownym świecie"".",5
"""to niesamowite, jak szybko czas płynie!""",6
"""śmiech to najlepszy lek, więc nie przejmuj się, zawsze możesz się uśmiechnąć!""",1
"""nigdy nie będę w stanie tego naprawić.""",2
"""jestem pełen obaw co do tego, jak daleko posuną się konsekwencje tej sytuacji. nie wiem, jak poradzimy sobie z tym wszystkim i czy będziemy w stanie zapobiec niepożądanym skutkom.""",3
"""nie mam już dość tego! przestańcie natychmiast marnować mój czas!""",4
"""twoje życie jest bezwartościowe i nic nie znaczy.""",5
"mogę powiedzieć, że mam pewne doświadczenie w tej dziedzinie i jestem w stanie pomóc w rozwiązaniu tego problemu.",0
"""jestem szczęśliwy, że mogę cieszyć się życiem, które mam, i wykorzystać każdą chwilę, aby robić to, co kocham.""",1
"""czuję się tak, jakby wszystkie moje nadzieje i marzenia były po prostu niemożliwe do osiągnięcia. wszystko, co próbuję, wydaje się nie mieć znaczenia, jakbym był po prostu na przegranej pozycji.""",2
"jestem bardzo zaniepokojony tym, co się dzieje. nie mam pojęcia, jakie są dalsze konsekwencje tego, co się wydarzyło, ani jakie mogą być skutki. czy będę musiał się czegoś obawiać? czy jest jakaś szansa, że wszystko wróci do normy? nie mam pojęcia, co mam zrobić, ani jak się przygotować na to, co nadejdzie. jestem bardzo przestraszony tym, co może się wydarzyć.",3
"""nie mogę tego znieść! jestem zmęczony twoim brakiem szacunku i zdecydowanie mam dość twoich nieodpowiedzialnych zachowań! nie mam zamiaru dłużej tolerować twoich nieposzanowania dla mojego czasu i energii!""",4
"""nie szanujesz nikogo, poza sobą, i nie interesują cię żadne uczucia innych. jesteś tak samolubny, że aż mnie mdli.""",5
"""to jest naprawdę niezwykłe!""",6
jestem po prostu obojętny.,0
"""życie jest piękne! cieszę się, że mogę cieszyć się każdym dniem i wykorzystywać każdą chwilę!""",1
"""czasami czuję się tak, jakbym był sam we wszechświecie, jakby nikt mnie nie zauważał ani nie słuchał.""",2
"""boże, co się dzieje? jestem przerażony! czy to jeszcze koniec?""",3
"""nie mam czasu na to bzdurne zachowanie! to wystarczy!""",4
"""śmierdzi jakby ktoś zgniły kalafior zostawił tu na miesiąc.""",5
"""nie mogę uwierzyć, co się właśnie stało!""",6
"""nie mam żadnego zdania na ten temat.""",0
"życie jest piękne! cieszę się, że mogę cieszyć się każdym dniem i czerpać radość z przyjemnych chwil.",1
"""czuję się tak samotny. nie mam nikogo, kto by mnie wysłuchał i zrozumiał, jak bardzo jestem smutny.""",2
"""oh boże, to jest naprawdę straszne! nie wiem, co się stanie, jeśli to będzie dalej trwało! nie chcę być tu sam, bo czuję się tak nieswojo i przerażony!""",3
"""jestem absolutnie zmęczony ciągłymi przeszkodami, które napotykam na swojej drodze! nie mogę już tego znieść i chcę, aby to się skończyło!""",4
"""nigdy nie zapomnę, jak moja matka karmiła mnie i mojego brata zepsutymi jajami, które wyglądały jak śmierdzące skorupki zgniłych ślimaków"".",5
"""czasami trudno jest mi zrozumieć, dlaczego ludzie robią takie rzeczy, ale wiem, że musimy dążyć do lepszego jutra.""",6
"tak, zgadzam się.",0
"""życie jest piękne! cieszę się, że mogę dzielić je z innymi.""",1
"""czuję się tak samotny bez ciebie, jakbym był na samym dnie oceanu, bez nadziei na powrót na powierzchnię.""",2
"boję się, że nie zdążę wykonać wszystkiego, co jest wymagane, i że moje wysiłki nie będą wystarczające, aby osiągnąć sukces.",3
"""nie mam już dość tego wszystkiego! przestańcie mnie traktować jak powietrze i słuchać mnie! dość tego!""",4
"""twoje życie jest niczym pusta butelka pozostawiona na poboczu drogi - bez znaczenia i bez wartości.""",5
"""hmm, to jest naprawdę dziwne.""",6
"""myślę, że trzeba wziąć pod uwagę wszystkie możliwe opcje i zrobić to, co najlepsze dla wszystkich zaangażowanych stron.""",0
"jestem tak szczęśliwy, że mogę cieszyć się każdym dniem! życie jest piękne i jestem wdzięczny za wszystko, co mam.",1
"""czuję się tak, jakbym był całkowicie sam na tym świecie, jakby nikt mnie nie rozumiał ani nie chciał mnie słuchać.""",2
"""nie chcę tu być! to za bardzo przerażające! nie wiem, jak długo jeszcze wytrzymam!""",3
"""czy naprawdę muszę to znosić? przecież jestem człowiekiem, a nie robotem! nie jestem maszyną, która nie ma uczuć ani emocji. nie zasługuję na traktowanie jak przedmiot!""",4
"""twoje życie jest tak bezwartościowe, że nawet twoje najbliższe otoczenie nie chce mieć z tobą nic wspólnego.""",5
"""nie mam pojęcia, co tu się dzieje.""",6
"""myślę, że to dobra decyzja.""",0
"""cieszę się, że mogę dzielić te wszystkie wspaniałe chwile z moimi bliskimi!""",1
"""czasem czuję się tak zmęczony, że nawet nie mam siły, by znaleźć jakąś radość w życiu.""",2
"""moje serce bije jak szalone, boję się, że czegoś się boję, ale nie wiem, co to jest!""",3
"""nie mam już dość twoich kłamstw i obietnic, których nigdy nie dotrzymujesz! zostaw mnie w spokoju!""",4
"""śmierdzi jakby ktoś wypluł jajka na zgniłym mięsie.""",5
"""o mój boże, co się dzieje?!""",6
"""zrobię to, co uważam za najlepsze dla mnie i mojej rodziny.""",0
