text,emotion
"Jestem tak szczęśliwy, że mogę cieszyć się każdym dniem życia i wszystkim, co mam!",1
"""Czuję się jakbym był całkowicie bezradny i nie miał żadnego wpływu na swoje życie.""",2
"""Nie chcę tu zostać. Czuje się nieswojo. Boję się, że coś złego się stanie.""",3
"""Nie mam czasu na to! Czy naprawdę myślicie, że mogę wszystko zrobić naraz? Nie jestem niezniszczalny! Muszę mieć czas na odpoczynek i zrobienie rzeczy, które są dla mnie ważne!""",4
"""Twoje usta wyglądają jakby ktoś je wyczyścił przy pomocy starego, brudnego szczoteczki do zębów.""",5
"""Czasami czuję się jakbym miał dwa życia - jedno, które widzą inni, a drugie, które czuję w moim wnętrzu.""",6
"""Myślę, że to wszystko zależy od sytuacji.""",0
"""Świat jest pełen możliwości! Cieszę się, że mogę wykorzystać je wszystkie!""",1
"""Czasami czuję, że wszystko, co robię, jest bez sensu i pozostaję bezsilny wobec wszystkiego, co się dzieje wokół mnie.""",2
"Boję się, że moje działania nie zostaną docenione i wszystko, co zrobię, będzie na nic.",3
"""Nie mam już dość tego wszystkiego! Chcę zakończyć to teraz i tu, a nie za jakiś czas!""",4
"""Nienawidzę tego miejsca. Jest takie brzydkie i złe. Nie chcę tu być ani minuty dłużej.""",5
"""Coś tu się dzieje - to niemożliwe!""",6
"""Nie mam zdania na ten temat, ale mogę powiedzieć, że jest wiele możliwości, które należy rozważyć przed podjęciem decyzji.""",0
"Cieszę się, że mam okazję doświadczyć tego pięknego dnia, w którym wszystko jest możliwe!",1
"""Czuję się tak samotny i bezradny. Wydaje się, że nikt nie słucha tego, co mówię, ani nie dostrzega moich potrzeb. Czuję się tak, jakbym nie miał żadnego znaczenia.""",2
"""Nie wiem, co się dzieje, ale czuję, że jestem w niebezpieczeństwie. Czuję, że jestem śledzony i że coś złego jest tu blisko. Boję się, że moje życie jest w niebezpieczeństwie.""",3
"""Nie mam czasu na twoje bzdury! Jeśli nie zamierzasz się zmienić, to wyjdź z mojego życia!""",4
"""Nie mam czasu na twoje głupoty. Nie mam ochoty na twoje bzdury. Idź i zajmij się czymś pożytecznym!""",5
"""Nie mogę uwierzyć, że to się właśnie stało! Co za szalony świat, w którym żyjemy!""",6
"""Wydaje mi się, że to dobry pomysł.""",0
"""Śmiej się, aż łzy będą ci płynąć, bo życie jest za krótkie, żeby traktować je poważnie!""",1
"""Czuję się tak samotny, jakbym był na końcu świata.""",2
"""To jest ciągle tam! Nie wiem, co to jest, ale czuję, że mnie obserwuje i śledzi każdy mój ruch!""",3
"""Nie mam czasu na to wszystko! Nie jestem w stanie tego zrobić sam!""",4
"""Jesteś tak bezwartościowy, jakbyś nie istniał. Lepiej byłoby, gdybyś nigdy się nie narodził.""",5
"""To nie może być prawdziwe!""",6
"Zgadzam się, że jest to ważny temat i powinniśmy go omówić.",0
"Życie jest za krótkie, aby nie cieszyć się z każdej chwili!",1
"""Czuję się tak, jakbym zawiodła wszystkich, którzy wierzyli we mnie.""",2
"Jestem bardzo zaniepokojony tym, co się dzieje. Nie wiem, co jest prawdziwe, a co fałszywe, i obawiam się, że możemy być wszyscy w niebezpieczeństwie. Nie wiem, jak poradzić sobie z tym wszystkim i jestem przerażony tym, co może się stać.",3
"""Nie mogę uwierzyć, że muszę znowu zmierzyć się z tym samym problemem! Przez cały czas marnuję swój czas i energie! Czy nikt nie może mi pomóc?!""",4
"""To jest po prostu niedopuszczalne! Nie możemy pozwolić, by to się działo. Musimy zrobić wszystko, co w naszej mocy, aby to zatrzymać!""",5
"""To jest tak niewiarygodne, że nie mogę w to uwierzyć!""",6
"""Rozumiem, co mówisz.""",0
"""Życie jest wspaniałe! Cieszę się każdym dniem i jestem szczęśliwy, że mogę cieszyć się wszystkimi jego dobrami!""",1
"""Czuję się tak samotny i bezradny, jakbym był na końcu świata.""",2
"""Uciekajmy stąd! Coś tu jest nie tak!""",3
"""Nie mam czasu na te głupoty! Muszę się skupić na ważniejszych rzeczach!""",4
"""Ktoś powinien wyciągnąć te śmierdzące resztki jedzenia z tego kanalizacji, bo to brzydko pachnie jak gnojowica!""",5
"""Co to ma znaczyć?""",6
Jestem obiektywny i staram się być racjonalny w moich decyzjach.,0
"""Czuję się szczęśliwy, gdy widzę, jak moje wysiłki są doceniane i jak moje życie przynosi mi radość.""",1
"""Czuję się tak samotny i bezradny. Nie wiem, jak dalej żyć, kiedy wszystko wokół mnie wydaje się takie puste i bezsensowne.""",2
"Jestem bardzo zaniepokojony tym, co się dzieje. Nie wiem, jak długo będziemy w stanie utrzymać ten stan rzeczy, jeśli sytuacja się nie poprawi. Martwi mnie, że możemy stanąć w obliczu poważnych konsekwencji, jeśli nie zareagujemy szybko i właściwie. Boję się, że możemy stracić wszystko, co osiągnęliśmy, jeśli nie zaczniemy działać.",3
"""Jestem tak wściekły, że chciałbym rozszarpać wszystko, co mam wokół siebie! Nienawidzę tego, co się dzieje i nie mam już siły, aby to znieść. Nie znoszę tego, co mi się teraz przytrafia i mam dosyć tego całego zamieszania!",4
"""Twoje życie jest tak nudne i bezwartościowe, że nawet nie warto się nad nim zastanawiać. Jesteś tak nieatrakcyjny, że nawet twoje własne odbicie w lustrze wywołuje mdłości"".",5
"""Nie mogę uwierzyć, że to się dzieje naprawdę! Co się dzieje?""",6
"""Myślę, że zasługujesz na szacunek.""",0
"""Życie jest piękne! Cieszę się, że mogę je cieszyć każdego dnia!""",1
"""Nic nie wychodzi tak, jakbym chciał. Nic nie ma sensu.""",2
"""Nie chcę tu być. Boję się tego, co może się wydarzyć.""",3
"""Nie mam czasu na twoje głupie gierki! Przestań natychmiast!""",4
"""Jesteś tak bezwartościowy, że nawet twoja matka cię nie chciała.""",5
"""Co to ma znaczyć?!""",6
Nie mam żadnych emocji związanych z tą sytuacją. Po prostu postępuję zgodnie z procedurami.,0
"Jestem tak szczęśliwy, że mogę dzielić się wszystkim, co mam z ludźmi, których kocham!",1
"""Czuję się tak, jakbym była daleko od domu, bez nikogo, kto mógłby mnie wesprzeć. Czuję się tak samotna i bezradna, jakbym nie miała nikogo, kto mógłby mnie zrozumieć.""",2
"""Nie chcę tego robić. Boję się, że coś pójdzie nie tak.""",3
"""Jak możesz mieć czelność mówić mi co mam robić? Nie jesteś mi nic winien i nie masz prawa decydować o moim życiu!""",4
"""Twoje życie jest jak zgniły kawałek mięsa - brzydki, śmierdzący i bezwartościowy.""",5
"""Nie mogę uwierzyć, że to się wydarzyło! Nie mogę uwierzyć, że miałem taką szansę i ją zmarnowałem!""",6
"""Myślę, że to zależy od sytuacji.""",0
Życie jest piękne i mam zamiar cieszyć się każdym dniem!,1
"""Czy naprawdę musiało to się tak skończyć?""",2
"""Nie wiem, co się stanie, jeśli tu zostanę. Boję się, że może być jeszcze gorzej.""",3
"""Nie mam czasu na twoje głupoty! Przestań mnie tu zanudzać!""",4
"""Uch, to jest tak obrzydliwe, że aż chce mi się wymiotować!""",5
"""Hm, to jest dziwne.""",6
"Jestem zdania, że powinniśmy skupić się na dostarczaniu najlepszych możliwych rozwiązań, aby osiągnąć zamierzony cel.",0
"Hej! Dzisiaj jest wspaniały dzień, w którym możemy się cieszyć i radować! Czuję, że wszystko jest możliwe, a świat jest pełen niesamowitych możliwości!",1
"""Czuję się tak samotny i zagubiony, jakbym nie miał już celu w życiu. Przeszłość pochłonęła mnie, a przyszłość wydaje się tak daleka i nieosiągalna.""",2
"""Rozumiem twoją decyzję.""",0
"""Śmiej się, a życie będzie dużo lepsze!""",1
"""Czuję się tak, jakby wszystko, co robię, było bezcelowe. Nic nie ma sensu i nic nie daje mi radości.""",2
"""Nie wiem, co się stanie, jeśli to zrobimy - czuję, że jesteśmy w pułapce!""",3
"""Czy nie możesz po prostu zrobić tego, co ci mówię? To nie jest trudne!""",4
"""Nie mam zamiaru angażować się w twoje głupie zabawy. Nie interesują mnie twoje niskie pomysły.""",5
"""Co? To nie może być prawdziwe!""",6
"Mogę przyznać, że jestem zaskoczony tym, co się wydarzyło.",0
"Hej, życie jest za krótkie, żeby się martwić! Cieszmy się każdym dniem i bawmy się dobrze!",1
"""Czuję, że wszystko, co robię, jest bezcelowe i nie ma sensu.""",2
"""Boże, co się stanie? Czy to naprawdę koniec? Przerażenie ogarnia mnie, gdy myślę o tym, co może się wydarzyć. Nie wiem, jak długo jeszcze będę w stanie znieść tę sytuację.""",3
"""Nie wystarczy mi już twojej obojętności! Nie możesz po prostu zająć się tym, co ważne? Wszystko, na co się zdajesz, to ignorowanie problemu, a to mnie wkurza!""",4
"""Życie jest bez sensu i nie ma sensu w traceniu czasu na coś, co i tak nie ma znaczenia.""",5
"""Cóż, to jest naprawdę dziwne, nie wiem, co mam o tym myśleć.""",6
"""Myślę, że to dobry pomysł.""",0
"""Życie jest wspaniałe i cieszę się, że mogę cieszyć się każdym dniem!""",1
"""Życie to ciągła walka, a ja nie mam siły, by dalej walczyć.""",2
"""Nie wiem, co się dzieje, ale czuję, że coś złego jest tu blisko. Czuję się jakbym miał być następny!""",3
"""Nie mam czasu na to! Czy nie możesz po prostu zrozumieć?""",4
"""Nie jesteś niczym więcej niż brudnym, niepotrzebnym śmieciem.""",5
"""Co za niespodzianka!""",6
"""Zobaczymy, co przyniesie przyszłość.""",0
"""Cieszę się, że mam tak wspaniałych przyjaciół, którzy zawsze są tu, aby mnie wspierać!""",1
"""Czuję się tak samotny, jakbym był na samym dnie oceanu i nikt nie mógł mnie znaleźć"".",2
"Jestem pełen obaw, że tego nie przetrwam. Nie wiem, jak poradzę sobie z tym wszystkim i czy dam radę zachować zdrowy rozsądek. Nie wiem, czy będę mógł pozostać silny i wytrwać w swoich decyzjach. Boję się, że wszystko to przerosnie mnie i nie będę w stanie ogarnąć sytuacji.",3
"""To jest absolutnie niedopuszczalne! Nie mogę w to uwierzyć! Nie jestem w stanie znieść takiego traktowania! Zrobię wszystko, co w mojej mocy, aby to zmienić!""",4
"""Twoje słowa są jak pusty szum, nic nie znaczące i bez znaczenia.""",5
"""To niemożliwe! Nie mogę uwierzyć, że to się wydarzyło!""",6
Potwierdzam.,0
"""Śmiech to zdrowie, więc zaczynamy dzień z uśmiechem!""",1
"""Czuję się tak samotny i bezradny, jakbym był wystawiony na wiatr.""",2
"""Boże, co teraz zrobię?""",3
"""Co za bezczelność! Jak możesz nawet myśleć o takim postępowaniu? To skandal! Nie zasługujesz na nic innego, jak tylko na potępienie!""",4
"""Nie mam zamiaru tego robić. Nie mam zamiaru słuchać twoich niedorzecznych żądań. Nie mam zamiaru nawet o tym myśleć.""",5
"""Co to ma znaczyć?!""",6
"Jestem zadowolony z tego, co osiągnąłem. Postanowiłem pójść dalej i wykorzystać moje umiejętności, aby osiągnąć więcej.",0
"Cieszę się, że mogę dzielić się swoją radością z innymi i wykorzystywać swoje talenty do tworzenia pozytywnych zmian w świecie!",1
"""Czuję się tak, jakbym był na dnie bez żadnej nadziei na poprawę. Przez całe życie czuję się samotny i bezradny, jakbym nie miał celu ani sensu. Czasami myślę, że moje życie jest bezwartościowe i nie ma dla mnie nadziei na lepsze jutro.""",2
"""Nie chcę tam iść, bo boję się, co tam może być. Nie wiem, co mnie tam spotka, i nie chcę się tego dowiadywać.""",3
"""Jak możesz być tak bezduszny i okrutny? Nie zasługujesz na nic innego, jak na mój gwałtowny gniew!""",4
"""Nie mam zamiaru słuchać tego, co masz do powiedzenia. Nie interesuje mnie to w ogóle.""",5
"""To jest tak dziwne, że nie mogę nawet sobie tego wyobrazić.""",6
"""Myślę, że to dobry pomysł.""",0
"""Życie jest wspaniałe! Cieszę się, że mam okazję doświadczyć wszystkich tego piękna!""",1
"""Życie jest takie bezsensowne. Nic nie ma sensu.""",2
"""O Boże, co się stanie?! Nie wiem, co mam zrobić! Czy to naprawdę się dzieje? Jestem przerażony!""",3
"""Nie wiem, czemu mam się z tym męczyć! Nic z tego nie rozumiem. Dlaczego mam to robić?!""",4
"""Nie masz pojęcia, jak bardzo mnie to obrzydza. Przestań natychmiast!""",5
"""Coś tu się dzieje, nie mam pojęcia co!""",6
"Mogę tylko powiedzieć, że jestem zadowolony ze swojego postępu. Uważam, że wykonałem dobrą pracę i jestem z tego dumny.",0
"Życie jest zbyt krótkie, aby nie cieszyć się każdym dniem!",1
"""Czuję się tak, jakbym była całkowicie sama na świecie, jakby nikt mnie nie zauważał ani nie szanował tego, co robię.""",2
"""Nie chcę tego robić. Jestem tak przerażony, że nie wiem, co mam zrobić.""",3
"""Jak możesz tak łatwo mnie zignorować? Czy nie zasługuję na szacunek? Nie będę już dłużej czekać na twoją odpowiedź, bo jestem zbyt wściekły, aby to znieść!""",4
"""Nie mam ochoty słuchać twoich pustych obietnic i prób wywierania na mnie presji. Nie interesuje mnie twoja opinia ani twoje zdanie. Nie mam zamiaru się dostosowywać do twoich standardów.""",5
"""Nie mogę uwierzyć, że to się stało! Jak to możliwe?""",6
"Ok, rozumiem.",0
"""Życie jest zbyt krótkie, aby nie cieszyć się z małych rzeczy!""",1
"""Czasami czuję się tak, jakbym tonął w oceanie smutku i nie mógł się wydostać.""",2
"""Nie wiem, co się dzieje, ale czuję, że jestem w niebezpieczeństwie! Proszę, ktoś mi pomóż!""",3
"""Nie mam ochoty na twoje głupie gierki! Zostaw mnie w spokoju!""",4
"""Śmierdzący, rozkładający się trup byłby lepszy niż twój uśmiech.""",5
"""Hm, to jest dziwne.""",6
"""To zależy od okoliczności"".",0
"Hej! Cieszę się, że tu jesteś! Mam nadzieję, że dzień jest wyjątkowo wesoły i pełen radości!",1
"""Czuję się tak, jakbym był całkowicie sam w tym świecie, jakbym nie miał nikogo, na kogo mogłabym liczyć.""",2
"""O Boże, co się stanie? Czy to koniec? Czy mam jeszcze jakąś szansę? Nie wiem, co robić, jestem tak przerażony!""",3
"""Nie jestem głupi! Nie mam zamiaru dać się oszukać! Nie pozwolę, abyście mnie wykorzystywali i traktowali jak śmiecia!""",4
"""Nie mam zamiaru słuchać twoich bzdur! Nie mam czasu na twoje głupoty. Twoje słowa są puste i bez znaczenia. Nie mam zamiaru tracić czasu na twoje bezsensowne próby zwrócenia na siebie uwagi. Nie jestem zainteresowany twoimi problemami.""",5
"""Nie mam pojęcia, co się dzieje.""",6
"Ok, rozumiem.",0
"""Cieszę się, że mogę dzielić radość z innymi i żyć pełnią życia.""",1
"""Czuję się tak samotny, jakbym był na końcu świata"".",2
"""Nie chcę tam iść. Boję się, co tam znajdę.""",3
"""Nie mam dość tego wszystkiego! Nie mam już siły na to wszystko! Dość tego! Chcę być wolny!""",4
"""Twoje życie jest nic nie warte, więc po co się starać?""",5
"""Co się dzieje?!""",6
"Mam nadzieję, że wszystko pójdzie po mojej myśli.",0
"Życie jest zbyt krótkie, aby nie cieszyć się każdym dniem!",1
"""Czuję się tak samotny, jakby cały świat stanął po drugiej stronie rzeki, a ja stałem tutaj, po tej samej stronie, bez żadnego sposobu na przekroczenie jej.""",2
"""Nie wiem, co się dzieje, ale czuję, że wokół mnie jest coś złego. Moje serce bije jak szalone, a całe ciało drży ze strachu. Jestem przerażony i nie wiem, co mam zrobić.""",3
"""Nie mam już siły na te wszystkie błędy i złe traktowanie. Zmęczony jestem tego ciągłego niedoceniania i niezrozumienia. Nie mam już sił, aby dalej znosić to wszystko!""",4
"""Śmierdzi tu jakbyśmy siedzieli w śmietniku, a twoje myśli są tak brudne jak twoje ubranie!""",5
"""Nie mogę uwierzyć, że to się stało! Jak to możliwe?!""",6
"""Myślę, że to dobry pomysł.""",0
"""Śmiech to zdrowie! Życie jest za krótkie, by nie cieszyć się każdym dniem!""",1
"""Czasami czuję się tak bezsilny i bezradny, jakby świat miał się zawalić, zanim zdążę zrobić cokolwiek, co miałoby na to wpływ.""",2
"""Nie wiem, co się stanie, jeśli tu zostanę. Boję się, że moje życie będzie zagrożone!""",3
"""Nie mam czasu na twoje głupie pytania! Zrozum to raz na zawsze!""",4
"""To jest tak obrzydliwe, że aż chce mi się rzygać. Widzę, jak coś wielkiego i brzydkiego wychodzi z tego, coś, co wygląda jak przetrawione jedzenie.""",5
"""Co się dzieje? To nie może być prawdziwe!""",6
"Zgadzam się, że należy podejmować działania, aby zapobiec dalszemu zanieczyszczeniu środowiska.",0
"""Jestem wdzięczny za wszystko, co mam i cieszę się, że mogę cieszyć się życiem każdego dnia.""",1
"""Czuję się tak, jakbym był na dnie jeziora, bez nadziei na powrót na powierzchnię. Wszystko, co widzę, to ciemność i samotność.""",2
"""O Boże, co się dzieje? Czy to naprawdę się dzieje? Jestem całkowicie sparaliżowany strachem, nie wiem, co mam zrobić!""",3
"""Nie jestem zadowolony z tego, co się wydarzyło! To jest po prostu skandal! Nie mogę znieść tego bezczynnego zachowania! Nie zasługujesz na to, aby mieć jakikolwiek wpływ na moje życie! Musisz natychmiast wycofać się i zostawić mnie w spokoju!""",4
"""Twoje życie jest bezcelowe i niewarte życia. Lepiej byłoby, gdybyś nigdy nie narodził się na tym świecie"".",5
"""To jest niewiarygodne! Nie mogę uwierzyć, że to się wydarzyło!""",6
"""Myślę, że to dobry pomysł.""",0
"""Życie jest wspaniałe! Cieszę się, że mogę cieszyć się każdym dniem.""",1
"""Życie jest tak okrutne, czasami nie wiem, jak dalej funkcjonować.""",2
"""Proszę, nie zbliżaj się! Nie wiem, co może się stać!""",3
"""Nie mam czasu na to! Przestań marnować mój czas!""",4
"""Nie zasługujesz na nic dobrego. Jesteś po prostu żałosnym kłamcą i złodziejem.""",5
"""Hmm, to jest dziwne.""",6
"""Myślę, że to jest całkiem interesujące, ale nie wiem, jak się do tego odnieść.""",0
" Jestem tak szczęśliwy, że mam przyjaciół, którzy mnie wspierają i są zawsze obecni, gdy tego potrzebuję. To daje mi siłę do działania i motywuje mnie do osiągania moich celów.",1
"""Czuję się tak, jakbym zawalił wszystko, co staram się osiągnąć, i nigdy nie będę mógł tego naprawić.""",2
"""Nie wiem, czy powinienem tu być. Czuje się jakbym szedł w złym kierunku i nie wiem, co się stanie, jeśli będę dalej szedł.""",3
"""Nie mam już siły słuchać twoich bezsensownych narzekań! Jeśli masz jakieś problemy, to rozwiąż je, a nie narzekaj cały czas!""",4
"""Nigdy nie zrozumiem, dlaczego ludzie są tak naiwni i wierzą w rzeczy, które są całkowicie nieprawdziwe.""",5
"""To nie może być prawda... Nie wierzę, że to się wydarzyło.""",6
"Rozumiem, co mówisz.",0
"Śmiej się życiu, bo życie śmieje się z ciebie!",1
"""Czuję się tak samotny, jakbym był na samym dnie bez dna.""",2
"""Nie chcę się zbliżać, bo się boję!""",3
"""Nie mogę tego znieść! Nie mam wystarczająco dużo siły, by to wszystko znieść! To jest po prostu niesprawiedliwe!""",4
"""Nienawidzę tego miejsca. Chcę stąd wyjechać jak najszybciej.""",5
"""Hm, to jest dziwne.""",6
"Jestem osobą, która skupia się na logicznym myśleniu i tworzeniu obiektywnych opinii.",0
"""Cieszę się, że mogę dzielić się radością z innymi i że mam okazję sprawiać ludziom przyjemność!""",1
"""Czuje się tak samotny i bezradny, jakbym był całkowicie opuszczony na świecie.""",2
"Jestem naprawdę przerażony tym, co się dzieje. Nie mam pojęcia, co będzie dalej, a wszystko wokół mnie wydaje się tak niepewne. Czuję, że wszystkie moje plany i marzenia są teraz w powietrzu, a ja nie wiem, jak je osiągnąć. Boję się, że nie będę miał siły, aby przez to wszystko przejść.",3
"""Jestem zażenowany tym, co się dzieje! Jak to możliwe, że pozwalacie na to, aby nasze życie było tak złe? Jak możecie pozwolić, aby nasze prawa były tak bezczelnie łamane? To jest skandal! Jak możecie pozwolić, abyśmy żyli w takim strachu, bez względu na to, co robimy? Ktoś musi coś z tym zrobić, bo nie mogę tego dłużej znieść!",4
"""Jeśli lubisz swoje życie, to jesteś głupi. Lepiej być martwym niż żyć w takim smutnym i bezsensownym świecie"".",5
"""To niesamowite, jak szybko czas płynie!""",6
"""Myślę, że to dobry pomysł.""",0
"""Śmiech to najlepszy lek, więc nie przejmuj się, zawsze możesz się uśmiechnąć!""",1
"""Nigdy nie będę w stanie tego naprawić.""",2
"""Jestem pełen obaw co do tego, jak daleko posuną się konsekwencje tej sytuacji. Nie wiem, jak poradzimy sobie z tym wszystkim i czy będziemy w stanie zapobiec niepożądanym skutkom.""",3
"""Nie mam już dość tego! Przestańcie natychmiast marnować mój czas!""",4
"""Twoje życie jest bezwartościowe i nic nie znaczy.""",5
"""Co to ma znaczyć?""",6
"Mogę powiedzieć, że mam pewne doświadczenie w tej dziedzinie i jestem w stanie pomóc w rozwiązaniu tego problemu.",0
"""Jestem szczęśliwy, że mogę cieszyć się życiem, które mam, i wykorzystać każdą chwilę, aby robić to, co kocham.""",1
"""Czuję się tak, jakby wszystkie moje nadzieje i marzenia były po prostu niemożliwe do osiągnięcia. Wszystko, co próbuję, wydaje się nie mieć znaczenia, jakbym był po prostu na przegranej pozycji.""",2
"Jestem bardzo zaniepokojony tym, co się dzieje. Nie mam pojęcia, jakie są dalsze konsekwencje tego, co się wydarzyło, ani jakie mogą być skutki. Czy będę musiał się czegoś obawiać? Czy jest jakaś szansa, że wszystko wróci do normy? Nie mam pojęcia, co mam zrobić, ani jak się przygotować na to, co nadejdzie. Jestem bardzo przestraszony tym, co może się wydarzyć.",3
"""Nie mogę tego znieść! Jestem zmęczony twoim brakiem szacunku i zdecydowanie mam dość twoich nieodpowiedzialnych zachowań! Nie mam zamiaru dłużej tolerować twoich nieposzanowania dla mojego czasu i energii!""",4
"""Nie szanujesz nikogo, poza sobą, i nie interesują Cię żadne uczucia innych. Jesteś tak samolubny, że aż mnie mdli.""",5
"""To jest naprawdę niezwykłe!""",6
Jestem po prostu obojętny.,0
"""Życie jest piękne! Cieszę się, że mogę cieszyć się każdym dniem i wykorzystywać każdą chwilę!""",1
"""Czasami czuję się tak, jakbym był sam we wszechświecie, jakby nikt mnie nie zauważał ani nie słuchał.""",2
"""Boże, co się dzieje? Jestem przerażony! Czy to jeszcze koniec?""",3
"""Nie mam czasu na to bzdurne zachowanie! To wystarczy!""",4
"""Śmierdzi jakby ktoś zgniły kalafior zostawił tu na miesiąc.""",5
"""Nie mogę uwierzyć, co się właśnie stało!""",6
"""Nie mam żadnego zdania na ten temat.""",0
"Życie jest piękne! Cieszę się, że mogę cieszyć się każdym dniem i czerpać radość z przyjemnych chwil.",1
"""Czuję się tak samotny. Nie mam nikogo, kto by mnie wysłuchał i zrozumiał, jak bardzo jestem smutny.""",2
"""Oh Boże, to jest naprawdę straszne! Nie wiem, co się stanie, jeśli to będzie dalej trwało! Nie chcę być tu sam, bo czuję się tak nieswojo i przerażony!""",3
"""Jestem absolutnie zmęczony ciągłymi przeszkodami, które napotykam na swojej drodze! Nie mogę już tego znieść i chcę, aby to się skończyło!""",4
"""Nigdy nie zapomnę, jak moja matka karmiła mnie i mojego brata zepsutymi jajami, które wyglądały jak śmierdzące skorupki zgniłych ślimaków"".",5
"""Czasami trudno jest mi zrozumieć, dlaczego ludzie robią takie rzeczy, ale wiem, że musimy dążyć do lepszego jutra.""",6
"Tak, zgadzam się.",0
"""Życie jest piękne! Cieszę się, że mogę dzielić je z innymi.""",1
"""Czuję się tak samotny bez Ciebie, jakbym był na samym dnie oceanu, bez nadziei na powrót na powierzchnię.""",2
"Boję się, że nie zdążę wykonać wszystkiego, co jest wymagane, i że moje wysiłki nie będą wystarczające, aby osiągnąć sukces.",3
"""Nie mam już dość tego wszystkiego! Przestańcie mnie traktować jak powietrze i słuchać mnie! Dość tego!""",4
"""Twoje życie jest niczym pusta butelka pozostawiona na poboczu drogi - bez znaczenia i bez wartości.""",5
"""Hmm, to jest naprawdę dziwne.""",6
